AirQualityStation,Countrycode,Latitude,Longitude,no2,o3,pm10,traffic,industrial,background,rural,suburban,urban,nox_traffic,nox_industrial,nox_urban,nox_port_shipping,nox_other,nox_total,nox_share_traffic,nox_share_industrial,nox_share_urban,nox_share_port_shipping,nox_share_other,nox_dom_modeled,nox_dom_modeled_sh,nox_dom_all,nox_nonmodeled_dominant,nox_present_traffic,nox_present_industrial,nox_present_urban,nox_present_port_shipping,pm10_traffic,pm10_industrial,pm10_urban,pm10_port_shipping,pm10_other,pm10_total,pm10_share_traffic,pm10_share_industrial,pm10_share_urban,pm10_share_port_shipping,pm10_share_other,pm10_dom_modeled,pm10_dom_modeled_sh,pm10_dom_all,pm10_nonmodeled_dominant,pm10_present_traffic,pm10_present_industrial,pm10_present_urban,pm10_present_port_shipping
STA.IT1863A,IT,41.75944,14.20889,8.086379694,55.92163619,8.437356784,0,0,1,1,0,0,8.647228e-06,0.0,8.07988e-07,0.0,4.2871486e-07,9.883931e-06,0.87487745,0.0,0.081747636,0.0,0.043374933,traffic,0.87487745,traffic,False,True,False,True,False,1.0303764e-06,0.0,4.5838938e-06,0.0,7.456192e-07,6.359889e-06,0.1620117,0.0,0.7207506,0.0,0.11723777,urban,0.7207506,urban,False,True,False,True,False
STA-BETR701,BE,51.05833,3.7293,25.7485669,43.681846,29.23334858,0,0,1,0,0,1,7.098927e-05,8.528402e-05,6.973766e-05,0.000120809535,2.5090701e-05,0.00037191124,0.19087692,0.22931282,0.18751156,0.32483432,0.06746422,port_shipping,0.32483432,port_shipping,False,True,True,True,True,7.709061e-06,9.206635e-05,1.5998463e-05,6.0450607e-06,9.680313e-06,0.00013149924,0.058624376,0.7001284,0.12166202,0.04597031,0.07361498,industrial,0.7001284,industrial,False,True,True,True,True
STA-FR16029,FR,48.61036,7.78163,20.13982858,48.83727043,21.18092627,0,0,1,0,0,1,0.00017501705,3.0095292e-05,6.215652e-05,4.940477e-06,2.4214443e-05,0.00029642376,0.59042853,0.10152794,0.20968804,0.01666694,0.081688605,traffic,0.59042853,traffic,False,True,True,True,True,1.7773356e-05,6.937246e-05,3.2019085e-05,4.211013e-07,9.613721e-06,0.00012919972,0.13756497,0.5369397,0.24782628,0.0032593051,0.07440977,industrial,0.5369397,industrial,False,True,True,True,True
STA.IT0963A,IT,45.49917,12.26222,28.42706049,55.84852775,29.57417582,0,0,1,0,0,1,0.00017509882,0.0006721448,8.377709e-05,0.00015892707,0.000110394285,0.001200342,0.14587411,0.5599611,0.06979436,0.1324015,0.09196903,industrial,0.5599611,industrial,False,True,True,True,True,2.0066343e-05,0.0002349942,1.4389337e-05,6.8468016e-06,1.5314165e-05,0.0002916108,0.06881207,0.8058487,0.04934432,0.023479246,0.052515764,industrial,0.8058487,industrial,False,True,True,True,True
STA_ES0009R,ES,41.27417,-3.1425,1.701443639,73.60410608,8.334293948,0,0,1,1,0,0,2.7874157e-06,0.0,3.9302574e-07,0.0,5.4917615e-07,3.7296177e-06,0.74737304,0.0,0.10537963,0.0,0.1472473,traffic,0.74737304,traffic,False,True,False,True,False,2.946043e-07,0.0,3.0204873e-07,0.0,1.401886e-06,1.9985391e-06,0.14740983,0.0,0.15113476,0.0,0.7014554,urban,0.15113476,other,True,True,False,True,False
STA.DE_DEBE051,DE,52.64417,13.48308,15.2686101,52.02411154,19.10893943,0,0,1,0,1,0,5.729277e-05,2.6046051e-05,2.9413743e-05,0.0,9.052967e-06,0.00012180553,0.47036263,0.21383306,0.24148117,0.0,0.07432312,traffic,0.47036263,traffic,False,True,True,True,False,5.4176685e-06,2.344848e-05,6.1097603e-06,0.0,8.137988e-06,4.3113894e-05,0.12565945,0.5438729,0.1417121,0.0,0.18875557,industrial,0.5438729,industrial,False,True,True,True,False
STA_PL0501A,PL,50.01058,19.94919,31.94309199,41.31971702,43.39041563,0,0,1,0,0,1,0.00036421433,9.591119e-05,9.936994e-05,0.0,1.46707225e-05,0.0005741662,0.63433605,0.16704431,0.17306826,0.0,0.025551353,traffic,0.63433605,traffic,False,True,True,True,False,4.3989003e-05,0.00013897975,0.00026721534,0.0,7.1848103e-06,0.0004573689,0.09617838,0.30386797,0.58424467,0.0,0.015709005,urban,0.58424467,urban,False,True,True,True,False
STA_PL0150A,PL,53.21549,23.64215,3.482215231,50.91328392,12.70848547,0,0,1,1,0,0,1.1574243e-06,0.0,1.0226009e-06,0.0,7.411528e-07,2.9211785e-06,0.39621827,0.0,0.35006452,0.0,0.25371706,traffic,0.39621827,traffic,False,True,False,True,False,1.5094218e-07,0.0,4.422618e-06,0.0,2.1240721e-06,6.697632e-06,0.022536648,0.0,0.6603256,0.0,0.31713778,urban,0.6603256,urban,False,True,False,True,False
STA.DE_DENI031,DE,53.59617,8.09059,12.11709983,56.83993737,15.96497691,0,0,1,1,0,0,4.265923e-05,4.848095e-06,9.2641e-06,5.775584e-07,2.1683943e-06,5.9517373e-05,0.7167526,0.0814568,0.15565372,0.00970403,0.036432963,traffic,0.7167526,traffic,False,True,True,True,True,4.0231557e-06,4.364595e-06,7.3581837e-06,2.8888232e-08,5.639657e-06,2.1414482e-05,0.1878708,0.20381512,0.34360784,0.0013490045,0.26335716,urban,0.34360784,urban,False,True,True,True,True
STA.DE_DEHB005,DE,53.56246,8.56941,19.48109773,49.61195682,18.6423517,0,0,1,0,0,1,3.1588497e-05,0.00012141958,1.7510669e-05,0.0010219068,1.8190138e-05,0.0012106156,0.02609292,0.10029573,0.014464268,0.84412163,0.015025527,port_shipping,0.84412163,port_shipping,False,True,True,True,True,3.1375455e-06,0.000109310415,7.730673e-06,3.3215223e-05,3.694122e-06,0.00015708797,0.019973176,0.6958548,0.04921238,0.21144345,0.023516262,industrial,0.6958548,industrial,False,True,True,True,True
