idx,AirQualityStation,img_path,s5p_path,Countrycode,Altitude,PopulationDensity,rural,suburban,urban,traffic,industrial,background,no2,o3,pm10,Latitude,Longitude,Temp_3yr,Wind_3yr,Precip_3yr,RH_3yr,Stability_3yr,urban_clc,traffic_clc,rural_clc,num_roads_500m,num_buildings_500m,num_factory_500m,num_industrial_landuse_500m,num_roads_1km,num_buildings_1km,num_factory_1km,num_industrial_landuse_1km,SolarRad_3yr,ClearSkyRad_3yr,Dewpoint_3yr,SkinTemp_3yr,TempRange_3yr,SpecHumidity_3yr,CloudAmt_3yr,year,month,ship_density_1km,ship_density_5km,ship_density_10km
2,STA.IT1863A,STA.IT1863A/S2A_MSIL2A_20200123T095311_N0213_R079_T33TVG_20200123T113534.npy,STA.IT1863A/l3_mean_europe_2018_2020_005dg.netcdf,IT,954.0,55.3,1,0,0,0,0,1,8.086379694,55.92163619,8.437356784,41.75944,14.20889,14.225775547445256,2.0717153284671537,1.8158394160583944,70.86667883211679,0.486970802919708,0,0,1,0,15,0,0,0,20,0,1,4.290525490196078,5.417640196078431,8.105865384615385,14.557403846153846,10.139807692307691,7.454519230769231,52.21303921568628,2020,1,0.0,0.0,0.0
3,STA-BETR701,STA-BETR701/S2A_MSIL2A_20200530T105031_N0214_R051_T31UES_20200530T134211.npy,STA-BETR701/l3_mean_europe_2018_2020_005dg.netcdf,BE,5.0,594.5,0,0,1,0,0,1,25.7485669,43.681846,29.23334858,51.05833,3.7293,11.226642335766424,3.2512682481751822,1.908184306569343,80.88264598540147,0.2225912408759124,1,0,0,449,3135,0,5,1487,10346,0,10,3.2567264705882355,4.500572549019608,8.103365384615385,11.19278846153846,8.312307692307693,7.058269230769231,74.10803921568628,2020,5,827.4332480430603,609.6307502426328,397.9258723187443
4,STA-FR16029,STA-FR16029/S2B_MSIL2A_20200807T102559_N0214_R108_T32UMU_20200807T132026.npy,STA-FR16029/l3_mean_europe_2018_2020_005dg.netcdf,FR,114.0,237.6,0,0,1,0,0,1,20.13982858,48.83727043,21.18092627,48.61036,7.78163,11.238722627737223,1.9771624087591244,2.0352007299270074,77.76454379562044,0.4298540145985401,1,0,0,257,2117,0,1,589,4823,0,2,3.423401960784314,4.801783333333334,7.024423076923076,11.065480769230769,9.819038461538462,6.856153846153846,66.58813725490195,2020,8,0.1282825469970703,855.8710487911271,507.26016162796464
9,STA.IT0963A,STA.IT0963A/S2B_MSIL2A_20200821T100559_N0214_R022_T32TQR_20200821T130423.npy,STA.IT0963A/l3_mean_europe_2018_2020_005dg.netcdf,IT,1.0,442.4,0,0,1,0,0,1,28.42706049,55.84852775,29.57417582,45.49917,12.26222,15.685930656934303,2.483594890510949,2.7150182481751823,73.75530109489051,0.3264233576642336,0,0,1,188,1112,0,0,1250,3760,0,2,3.90402156862745,4.937896078431372,10.62423076923077,16.025673076923077,5.635673076923077,8.578173076923077,57.27362745098039,2020,8,0.0,2168.050998980036,624.5614954363555
11,STA_ES0009R,STA_ES0009R/S2A_MSIL2A_20200824T110631_N0214_R137_T30TVL_20200824T154400.npy,STA_ES0009R/l3_mean_europe_2018_2020_005dg.netcdf,ES,1360.0,21.2,1,0,0,0,0,1,1.701443639,73.60410608,8.334293948,41.27417,-3.1425,11.20698905109489,2.575939781021898,1.6923813868613138,71.1767700729927,0.2490237226277371,0,0,1,0,0,0,0,106,160,0,0,4.506645098039216,5.619563725490196,5.043557692307692,11.824615384615385,12.455384615384617,6.415673076923077,51.20990196078432,2020,8,0.0,0.0,0.0
15,STA.DE_DEBE051,STA.DE_DEBE051/S2B_MSIL2A_20200801T100559_N0214_R022_T32UQD_20200801T135302.npy,STA.DE_DEBE051/l3_mean_europe_2018_2020_005dg.netcdf,DE,60.0,4289.8,0,1,0,0,0,1,15.2686101,52.02411154,19.10893943,52.64417,13.48308,10.873220802919707,3.0467974452554745,1.3844799270072994,76.58783759124088,0.1353832116788321,0,0,1,2,58,0,0,44,444,0,0,2.9697872549019606,4.17455,6.299038461538462,10.784134615384614,8.966153846153846,6.367980769230769,67.98450980392157,2020,8,0.0,0.0,0.0
17,STA_PL0501A,STA_PL0501A/S2B_MSIL2A_20200822T094039_N0214_R036_T34UDA_20200822T115325.npy,STA_PL0501A/l3_mean_europe_2018_2020_005dg.netcdf,PL,223.0,2393.9,0,0,1,0,0,1,31.94309199,41.31971702,43.39041563,50.01058,19.94919,9.78167883211679,2.5297536496350363,1.970009124087592,78.68654197080293,0.3770802919708029,1,0,0,197,413,0,0,748,2317,0,9,3.1331372549019605,4.403711764705882,5.69625,9.46346153846154,9.215384615384616,6.476634615384615,68.12323529411765,2020,8,0.0,0.0,0.0
26,STA_PL0150A,STA_PL0150A/S2B_MSIL2A_20200921T094039_N0214_R036_T34UFE_20200921T120812.npy,STA_PL0150A/l3_mean_europe_2018_2020_005dg.netcdf,PL,180.0,98.7,1,0,0,0,0,1,3.482215231,50.91328392,12.70848547,53.21549,23.64215,8.658987226277372,2.577846715328467,1.716779197080292,81.42399635036496,0.1970711678832117,0,0,1,0,11,0,0,0,21,0,0,3.063493137254902,4.2679607843137255,5.034807692307693,8.431538461538462,8.265673076923077,6.185576923076923,69.41696078431373,2020,9,0.0,0.0,0.0
27,STA.DE_DENI031,STA.DE_DENI031/S2B_MSIL2A_20201225T103339_N0214_R108_T32UME_20201225T121034.npy,STA.DE_DENI031/l3_mean_europe_2018_2020_005dg.netcdf,DE,2.0,733.6,1,0,0,0,0,1,12.11709983,56.83993737,15.96497691,53.59617,8.09059,10.470720802919708,3.859470802919708,1.872344890510949,83.12660583941607,0.1799726277372262,0,0,1,22,165,0,2,86,796,0,5,3.0055666666666663,4.31450294117647,7.791538461538462,10.431153846153846,6.368942307692308,6.937692307692307,68.935,2020,12,0.0,304.8757252582787,334.6833915124767
28,STA.DE_DEHB005,STA.DE_DEHB005/S2B_MSIL2A_20201225T103339_N0214_R108_T32UME_20201225T121034.npy,STA.DE_DEHB005/l3_mean_europe_2018_2020_005dg.netcdf,DE,3.0,1399.1,0,0,1,0,0,1,19.48109773,49.61195682,18.6423517,53.56246,8.56941,10.34125912408759,3.461149635036496,1.8989781021897807,83.02330291970803,0.1897901459854014,1,0,0,66,464,0,6,375,2098,0,12,3.0055666666666663,4.31450294117647,7.573076923076924,10.244423076923075,7.259423076923077,6.865865384615384,68.935,2020,12,3947.099123832149,1549.108314136477,732.6874137365397
