run,pollutant,val_r2,val_rmse,test_r2,test_rmse,test_mae,n_train,n_val,n_test
1,no2,0.6620813996258602,5.41095867733069,0.625567899234812,5.277655353929714,3.9559981032615537,658,329,330
1,o3,0.5231450787330889,8.082618337350384,0.545420905362431,7.497508591399509,5.441313671789976,658,329,330
1,pm10,0.6675370439048199,5.095242446914738,0.6625838195800735,4.879406412556302,3.390778702916732,658,329,330
2,no2,0.6770899973137374,5.081489156757144,0.6074346337169491,5.205771941896775,3.925864073828836,658,329,330
2,o3,0.5317482197679866,7.312811912753044,0.5472259160319304,8.200900961473533,5.861145235562449,658,329,330
2,pm10,0.7074728433623483,4.442621227650487,0.7334423274113959,4.608822182667587,3.2250654647274857,658,329,330
3,no2,0.6569196975683003,5.1330258217428195,0.6559683213712056,5.382192414890794,3.984699224887351,658,329,330
3,o3,0.6015309812528684,7.261477894082269,0.3958697374733081,8.495374483380122,6.21674836720327,658,329,330
3,pm10,0.6675724658758697,4.874180521958336,0.653745820378871,4.566564392684896,3.2343893853652057,658,329,330
4,no2,0.6258754120258403,5.289077913733842,0.6389008061251717,5.105247910077856,3.8362915317935347,658,329,330
4,o3,0.48282814221050774,7.342796515088487,0.5246182204667253,7.726040714626993,5.726035045878655,658,329,330
4,pm10,0.640850610395372,5.02466511698773,0.6484250482899636,4.383030528136093,3.1377391051196217,658,329,330
5,no2,0.6875716092967802,5.099716643199818,0.5780202559139873,6.0530341159677965,4.060499843243818,658,329,330
5,o3,0.5748676953119456,7.304990826416894,0.4797921532896048,7.973142773323287,5.801740096126833,658,329,330
5,pm10,0.6964608546804589,4.641682840628364,0.6737434314593622,4.6245985413229596,3.095454663424605,658,329,330
