run,sample_id,pollutant,feature_name,feature_value_raw,feature_value_norm,shap_value,abs_shap,shap_rank_abs,shap_sign,source_category
1,4,no2,Stability_3yr,0.4298540145985401,0.4298540145985401,0.1319794113057568,0.1319794113057568,1,positive,meteorological_condition
1,4,no2,num_buildings_1km,4823.0,1.1428819791161207,0.12891057184854224,0.12891057184854224,2,positive,urban_anthropogenic
1,4,no2,rural,0.0,-0.5536674263920707,0.09355151216127001,0.09355151216127001,3,positive,geographic_context
1,4,no2,traffic,0.0,-0.3281059132780248,-0.08171551932716126,0.08171551932716126,4,negative,traffic
1,4,no2,Latitude,48.61036,0.5720618680640951,0.06980241445643529,0.06980241445643529,5,positive,geographic_context
1,4,no2,Altitude,114.0,-0.5075394218570998,0.06888886647541446,0.06888886647541446,6,positive,geographic_context
1,4,no2,urban,1.0,0.9693384774922439,0.06831732829601046,0.06831732829601046,7,positive,urban_anthropogenic
1,4,no2,RH_3yr,77.76454379562044,0.33479417909053616,0.05748651337721028,0.05748651337721028,8,positive,meteorological_condition
1,4,no2,ship_density_10km,507.26016162796464,1.0400388594060774,0.05291324878721527,0.05291324878721527,9,positive,port_shipping
1,4,no2,num_industrial_landuse_500m,1.0,-0.0690662422038175,-0.038332669684284,0.038332669684284,10,negative,industrial
1,4,no2,Longitude,7.78163,-0.13599825071229196,0.03596177023884321,0.03596177023884321,11,positive,geographic_context
1,4,no2,num_buildings_500m,2117.0,2.0389020116417886,-0.03531665898938731,0.03531665898938731,12,negative,urban_anthropogenic
1,4,no2,PopulationDensity,237.6,-0.230031414850446,0.025499031150523706,0.025499031150523706,13,positive,urban_anthropogenic
1,4,no2,num_roads_1km,589.0,-0.012611207444512024,0.020153091838809672,0.020153091838809672,14,positive,traffic
1,4,no2,ship_density_5km,855.8710487911271,1.501031210237617,0.0191821400453977,0.0191821400453977,15,positive,port_shipping
1,4,no2,Temp_3yr,11.238722627737223,-0.3876827982170647,-0.017845469588316787,0.017845469588316787,16,negative,meteorological_condition
1,4,no2,Precip_3yr,2.0352007299270074,-0.11681983855774473,0.014566337368639663,0.014566337368639663,17,positive,meteorological_condition
1,4,no2,Wind_3yr,1.9771624087591244,-0.5182011357990695,-0.013511230447152064,0.013511230447152064,18,negative,meteorological_condition
1,4,no2,ship_density_1km,0.1282825469970703,-0.14010518293822535,0.0051561394658718755,0.0051561394658718755,19,positive,port_shipping
1,4,no2,num_factory_1km,0.0,-0.1735841355973231,-0.0033233712560373904,0.0033233712560373904,20,negative,industrial
1,4,no2,num_roads_500m,257.0,0.5842649538821941,-0.0031708706381826587,0.0031708706381826587,21,negative,traffic
1,4,no2,num_industrial_landuse_1km,2.0,-0.23092366145394475,0.0018754970483197415,0.0018754970483197415,22,positive,industrial
1,4,no2,num_factory_500m,0.0,-0.13406790694875997,-9.430427931232058e-06,9.430427931232058e-06,23,negative,industrial
1,85,no2,rural,1.0,1.8061384006576289,-0.2621605395273519,0.2621605395273519,1,negative,geographic_context
1,85,no2,PopulationDensity,262.7,-0.20707088586010167,0.23642263141314,0.23642263141314,2,positive,urban_anthropogenic
1,85,no2,Temp_3yr,15.294981751824814,0.9554569167808509,0.22847606826206215,0.22847606826206215,3,positive,meteorological_condition
1,85,no2,Altitude,4.0,-0.9165778591437933,0.22367590121208872,0.22367590121208872,4,positive,geographic_context
1,85,no2,Stability_3yr,0.4442700729927007,0.4442700729927007,0.21543939542043572,0.21543939542043572,5,positive,meteorological_condition
1,85,no2,num_roads_1km,56.0,-1.0762392008311648,-0.18737234527098637,0.18737234527098637,6,negative,traffic
1,85,no2,Latitude,44.92784,-0.192688915539714,0.17705291302493778,0.17705291302493778,7,positive,geographic_context
1,85,no2,Longitude,11.17795,0.22419762468672144,0.08353326424374712,0.08353326424374712,8,positive,geographic_context
1,85,no2,urban,0.0,-1.031631389055225,-0.07721876330162114,0.07721876330162114,9,negative,urban_anthropogenic
1,85,no2,num_industrial_landuse_1km,2.0,-0.23092366145394475,0.07352845449364105,0.07352845449364105,10,positive,industrial
1,85,no2,Wind_3yr,1.7181113138686128,-0.7965526709691659,0.04915737112479187,0.04915737112479187,11,positive,meteorological_condition
1,85,no2,num_roads_500m,40.0,-0.8601934009772184,0.04705122201295751,0.04705122201295751,12,positive,traffic
1,85,no2,traffic,0.0,-0.3281059132780248,-0.045758845673803714,0.045758845673803714,13,negative,traffic
1,85,no2,Precip_3yr,1.9465145985401464,-0.24991210291863136,-0.029466136255188565,0.029466136255188565,14,negative,meteorological_condition
1,85,no2,RH_3yr,72.21921532846714,-0.6754898775824614,0.02580232682798128,0.02580232682798128,15,positive,meteorological_condition
1,85,no2,num_buildings_1km,228.0,-0.8278128870706583,-0.02507454564469745,0.02507454564469745,16,negative,urban_anthropogenic
1,85,no2,ship_density_10km,0.0,-0.3187453966742202,-0.02503869005539088,0.02503869005539088,17,negative,port_shipping
1,85,no2,num_industrial_landuse_500m,1.0,-0.0690662422038175,-0.019889058495434882,0.019889058495434882,18,negative,industrial
1,85,no2,num_buildings_500m,169.0,-0.6538115439786719,-0.017319696352889605,0.017319696352889605,19,negative,urban_anthropogenic
1,85,no2,ship_density_5km,0.0,-0.332199815255663,-0.005157585668515039,0.005157585668515039,20,negative,port_shipping
1,85,no2,ship_density_1km,0.0,-0.14022768049856174,-0.004668766252719816,0.004668766252719816,21,negative,port_shipping
1,85,no2,num_factory_1km,0.0,-0.1735841355973231,-0.0031030561713091885,0.0031030561713091885,22,negative,industrial
1,85,no2,num_factory_500m,0.0,-0.13406790694875997,-4.0938799690816916e-05,4.0938799690816916e-05,23,negative,industrial
1,127,no2,PopulationDensity,445.9,-0.03948646709392294,0.20821705801833976,0.20821705801833976,1,positive,urban_anthropogenic
1,127,no2,Stability_3yr,0.4105383211678831,0.4105383211678831,0.16140944999522105,0.16140944999522105,2,positive,meteorological_condition
